# Russian labels for objects OSM leaves unnamed.
#
# mkgmap's stock rules end in mop-ups that turn a raw tag value into a label --
# `add name='${amenity|subst:"_=> "}'` -- so an unnamed shop comes out as
# SUPERMARKET and an unnamed pier as PIER. On a Russian map that is machine
# text in the wrong alphabet. Measured in the Crimea extract: 238 tag pairs
# reach the labels this way, carrying 16797 objects.
#
# One line per pair: key=value|label. Applied only when the map is built with
# Cyrillic labels; other languages keep mkgmap's English, which is the
# international fallback.
#
# Keep the labels short. They are drawn on the map next to the icon, not read
# in a list, and a long one is simply clutter.

shop=convenience|Продукты
man_made=embankment|Насыпь
amenity=bench|Скамейка
amenity=waste_disposal|Мусорный контейнер
man_made=pier|Пирс
tourism=viewpoint|Смотровая площадка
amenity=shelter|Укрытие
man_made=tower|Башня
man_made=water_tower|Водонапорная башня
man_made=storage_tank|Резервуар
historic=archaeological_site|Археологический памятник
tourism=camp_site|Кемпинг
amenity=pharmacy|Аптека
tourism=guest_house|Гостевой дом
historic=memorial|Мемориал
leisure=garden|Сад
man_made=chimney|Труба
amenity=fountain|Фонтан
amenity=car_wash|Автомойка
tourism=picnic_site|Место для пикника
shop=car_repair|Автосервис
man_made=water_works|Водозабор
tourism=hotel|Гостиница
shop=hairdresser|Парикмахерская
shop=greengrocer|Овощи и фрукты
amenity=place_of_worship|Храм
amenity=fuel|АЗС
man_made=water_well|Колодец
historic=ruins|Руины
amenity=marketplace|Рынок
shop=kiosk|Киоск
shop=car_parts|Автозапчасти
man_made=crane|Кран
shop=butcher|Мясо
amenity=bar|Бар
shop=hardware|Хозтовары
shop=clothes|Одежда
amenity=post_office|Почта
shop=bakery|Пекарня
shop=supermarket|Супермаркет
shop=florist|Цветы
shop=alcohol|Алкоголь
tourism=attraction|Достопримечательность
shop=gift|Подарки
man_made=silo|Силосная башня
amenity=bicycle_parking|Велопарковка
man_made=bridge|Мост
shop=doityourself|Стройматериалы
leisure=fishing|Рыбалка
amenity=community_centre|Дом культуры
shop=yes|Магазин
man_made=wastewater_plant|Очистные сооружения
amenity=taxi|Такси
shop=ticket|Билеты
amenity=library|Библиотека
shop=pet|Зоомагазин
man_made=groyne|Буна
shop=furniture|Мебель
amenity=shower|Душ
amenity=police|Полиция
tourism=apartment|Апартаменты
shop=seafood|Морепродукты
tourism=artwork|Арт-объект
tourism=caravan_site|Автокемпинг
man_made=monitoring_station|Станция наблюдения
shop=beauty|Салон красоты
shop=confectionery|Кондитерская
amenity=bbq|Мангал
amenity=veterinary|Ветклиника
tourism=chalet|Шале
shop=chemist|Бытовая химия
shop=car|Автосалон
amenity=bus_station|Автовокзал
amenity=ferry_terminal|Причал
historic=yes|Памятник истории
shop=stationery|Канцтовары
shop=tyres|Шиномонтаж
tourism=hostel|Хостел
man_made=pumping_station|Насосная станция
shop=mall|Торговый центр
man_made=reservoir_covered|Резервуар
amenity=townhall|Администрация
shop=mobile_phone|Мобильные телефоны
amenity=public_building|Общественное здание
shop=jewelry|Ювелирный
shop=toys|Игрушки
amenity=parking_space|Парковочное место
shop=farm|Фермерские продукты
shop=dairy|Молочные продукты
shop=cosmetics|Косметика
amenity=fire_station|Пожарная часть
shop=books|Книги
amenity=cinema|Кинотеатр
shop=optician|Оптика
amenity=pub|Паб
amenity=driving_school|Автошкола
tourism=motel|Мотель
amenity=dressing_room|Раздевалка
amenity=theatre|Театр
shop=shoes|Обувь
shop=electronics|Электроника
shop=houseware|Товары для дома
man_made=works|Завод
amenity=bank|Банк
shop=variety_store|Универсальный магазин
shop=second_hand|Секонд-хенд
shop=bicycle|Велосипеды
shop=copyshop|Копицентр
shop=locksmith|Ключи и замки
tourism=theme_park|Парк развлечений
historic=tomb|Гробница
man_made=kurgan|Курган
man_made=tank|Резервуар
shop=beverages|Напитки
tourism=museum|Музей
historic=bomb_crater|Воронка
man_made=street_cabinet|Шкаф связи
shop=outdoor|Товары для туризма
shop=computer|Компьютеры
shop=tobacco|Табак
shop=wine|Вино
